"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-15","   40","   30",,," 0136","0.00","  100","0.0","2.0",,"40","28","  714",,,,"  270","  270","0.6",,,,"31.1","23.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-16","   50","   70",,," 1948","0.00","   82","0.0","0.0",,"40","28","  588",,,,"  315","  315",,,,,"31.1","19.9",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-17","    0","    0",,," 1012","0.00","  100","0.0","0.0",,"46","28","  720",,,,"  315","  315",,,,,"32.2","21.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-18","   80","   90",,," 1548","0.00","   59","0.0","0.0",,"49","34","  432",,,,"  225","  225",,,,,"21.9","16.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-19","   60","   80",,," 1124","0.00","   67","0.0","0.0",,"48","35","  492",,,,"   45","   45",,,,,"16.1","16.1",,,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-20","   50","   40",,," 2036","0.02","   75","0.0","0.0",,"55","36","  546",,,,"  225","  225",,,,,"24.2","19.0",,,,"    1",,,,"    1",,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-21","   70","   90",,," 1500","0.36","   24","0.0","0.0",,"49","36","  174",,,,"  315","  315",,,,,"41.4","28.0","    1",,,"    1",,,,,,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-22","   80","   90",,," 2248","0.13","   74","0.0","0.0",,"48","38","  540",,,,"   90","   90",,,,,"30.0","19.9",,,,"    1",,,,,,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-23","   90","  100",,," 0030","0.66","    0","0.0","0.0",,"45","38","    0",,,,"   45","   45",,,,,"34.4","30.0","    1","    1",,"    1",,,,"    1",,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-24","   50","   80",,," 1536","0.00","   35","0.0","0.0",,"50","36","  258",,,,"  270","  270",,,,,"32.2","25.1",,,,,,,,"    1",,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-25","   40","   30",,," 1518","0.00","   90","0.0","0.0",,"53","38","  666",,,,"  315","  315",,,,,"40.3","25.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-26","  100","  100",,," 2318","0.26","   14","0.0","0.0",,"57","40","  102",,,,"  180","  180",,,,,"38.0","29.1","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-27","   40","   40",,," 1124","0.20","   92","0.0","0.0",,"56","39","  690",,,,"  270","  315",,,,,"47.2","36.9","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-28","   40","   60",,," 1536","0.00","   85","0.0","0.0",,"52","36","  636",,,,"  225","  180",,,,,"28.9","25.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-29","  100","  100",,," 1742","0.74","    3","7.3","0.0",,"45","28","   18",,,,"   45","   45",,,,,"41.4","25.9","    1",,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-30","   30","   30",,," 0724","0.00","  100","0.0","7.0",,"34","21","  756",,,,"  360","  360","0.7",,,,"27.5","19.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-03-31","  100","  100",,," 1236","0.70","    0","5.8","2.0",,"36","31","    0",,,,"   45","  360","0.2",,,,"18.3","12.1","    1",,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-04-01","   60","   50",,," 1718","0.00","   97","0.0","6.0",,"48","28","  738",,,,"  225","  225","0.7",,,,"16.1","15.0",,,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-04-02","   90","  100",,," 1748","1.83","    0","0.1","1.0",,"58","35","    0",,,,"  225","  225",,,,,"49.4","38.0","    1",,,"    1",,,,,,,,,,,"    1",,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-04-03","   50","   50",,," 0942","0.00","   82","0.0","0.0",,"49","39","  630",,,,"  270","  270",,,,,"58.6","42.9",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-04-04","   10","   20",,," 1142","0.00","   93","0.0","0.0",,"51","36","  720",,,,"  315","  315",,,,,"52.8","34.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-04-05","   20","   30",,," 0748","0.00","   79","0.0","0.0",,"49","34","  612",,,,"  315","  315",,,,,"28.9","19.9",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-04-06","   50","   50",,," 1412","0.00","   67","0.0","0.0",,"45","30","  522",,,,"   90","   90",,,,,"33.3","23.0",,,,,,,,,,,,,,,,,,,,
